canonical_smiles,molecule_chembl_id,IC50_nM,pIC50,MWT,LogP,HBD,HBA,RO5_Compliant
COc1cc(C(=NC#N)c2csc(-c3ccccc3)n2)cc(OC)c1OC,CHEMBL5279914,20.0,7.698970004336019,379.4410000000002,4.154380000000004,0,7,True
COc1cc(C(=O)NCCN(C)C)cc(OC)c1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2s1,CHEMBL3759317,0.4,9.397940008672037,505.6440000000002,4.840000000000004,2,8,True
COc1cc(C(=O)NCCN(C)C)ccc1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2s1,CHEMBL3758770,0.5,9.301029995663981,475.61800000000017,4.831400000000004,2,7,True
COc1cc(C(=O)NN2CCN(C)CC2)ccc1Nc1ncc2nc(Nc3ccccc3)n(C(C)C)c2n1,CHEMBL3674152,7.0,8.154901959985743,515.6220000000001,3.795200000000002,3,10,True
COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12,CHEMBL603,5751.0,5.240256632402275,575.6870000000001,5.695920000000005,2,7,False
COc1cc(C(=O)c2csc(-c3ccc4[nH]ccc4c3)n2)cc(OC)c1OC,CHEMBL1830231,8.0,8.096910013008056,394.45200000000017,4.548200000000004,1,6,True
COc1cc(C(C#N)=C(C#N)C#N)cc(O)c1O,CHEMBL489147,6000.0,5.221848749616356,241.20600000000002,1.43074,2,6,True
COc1cc(C(C#N)=C(C#N)C#N)cc(OC)c1O,CHEMBL489148,900000.0,3.0457574905606752,255.233,1.73374,1,6,True
COc1cc(C(N)=O)ccc1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2[nH]1,CHEMBL4757806,0.4,9.397940008672037,387.44300000000004,3.9055000000000017,3,5,True
COc1cc(C(N)=O)ccc1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2s1,CHEMBL3758278,2.0,8.698970004336019,404.49500000000006,4.638900000000002,2,6,True
COc1cc(C(N)=O)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,CHEMBL4776751,0.5,9.301029995663981,403.44200000000006,2.8779000000000003,4,6,True
COc1cc(C(N)=O)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2s1,CHEMBL3759480,1.5,8.823908740944319,420.4940000000001,3.6113000000000017,3,7,True
COc1cc(C2=C(c3c[nH]c4ccc(Br)cc34)C(=O)NC2=O)cc(OC)c1OC,CHEMBL605957,5797.0,5.236796699629228,457.28000000000026,3.5234000000000014,2,5,True
COc1cc(C2=C(c3c[nH]c4ccc(I)cc34)C(=O)NC2=O)cc(OC)c1OC,CHEMBL597492,1688.0,5.772627557710364,504.28000000000026,3.3655000000000017,2,5,True
COc1cc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)cc(OC)c1OC,CHEMBL201511,16000.0,4.795880017344075,378.3840000000002,2.7609000000000004,2,5,True
COc1cc(C2=C(c3c[nH]c4ccccc34)CNC2=O)cc(OC)c1OC,CHEMBL529663,23000.0,4.638272163982407,364.4010000000002,3.234300000000001,2,4,True
COc1cc(C2=C(c3cn(COC(C)(C)C)c4ccccc34)CNC2=O)cc(OC)c1OC,CHEMBL488646,9000.0,5.045757490560675,450.5350000000002,4.480300000000003,1,6,True
COc1cc(C2=C(c3cn(COCC[Si](C)(C)C)c4ccccc34)CNC2=O)cc(OC)c1OC,CHEMBL486437,22000.0,4.657577319177793,494.66400000000027,5.020000000000004,1,6,True
COc1cc(C2=C(c3cn(COCc4ccccc4)c4ccccc34)CNC2=O)cc(OC)c1OC,CHEMBL453336,14000.0,4.853871964321762,484.55200000000025,4.882000000000004,1,6,True
COc1cc(C=C(C#N)C#N)cc(Br)c1O,CHEMBL77298,153000.0,3.815308569182401,279.093,2.5938600000000007,1,4,True
COc1cc(C=C(C#N)C#N)cc(C)c1O,CHEMBL120564,87096.36,4.059999994991732,214.224,2.1397800000000005,1,4,True
COc1cc(C=C(C#N)C#N)cc(CS(=O)(=O)c2ccc(C)cc2)c1O,CHEMBL334032,23000.0,4.638272163982407,368.4140000000001,3.1136800000000027,1,6,True
COc1cc(C=C(C#N)C#N)cc(CSCC(=O)O)c1O,CHEMBL120719,75000.0,4.1249387366083,304.327,2.1491599999999997,2,6,True
COc1cc(C=C(C#N)C#N)cc(CSc2ccccc2)c1O,CHEMBL122522,6760.83,5.169999984192581,322.389,4.123660000000004,1,5,True
COc1cc(C=C(C#N)C#N)cc(CSc2ccccc2C(=O)O)c1O,CHEMBL118321,8000.0,5.096910013008056,366.3980000000001,3.8218600000000023,2,6,True
COc1cc(C=C(C#N)C#N)cc(O)c1O,CHEMBL80155,6000.0,5.221848749616356,216.196,1.53696,2,5,True
COc1cc(C=C(C#N)C#N)cc(OC)c1O,CHEMBL421877,850000.0,3.070581074285707,230.22299999999998,1.83996,1,5,True
COc1cc(C=C(C#N)C#N)cc(SCC(=O)O)c1O,CHEMBL1161236,53703.18,4.2699999970646445,290.3,2.00806,2,6,True
COc1cc(C=C(C#N)C#N)cc([N+](=O)[O-])c1O,CHEMBL307179,160000.0,3.795880017344075,245.194,1.73956,1,6,True
COc1cc(C=C(C#N)C#N)ccc1O,CHEMBL77869,200000.0,3.6989700043360187,200.197,1.8313599999999997,1,4,True
COc1cc(C=O)ccc1-c1cc2c(NCc3ccccc3)ncnc2s1,CHEMBL3759900,6.0,8.221848749616356,375.45300000000003,4.791500000000003,1,6,True
COc1cc(C=O)ccc1-c1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2s1,CHEMBL3759280,5.0,8.301029995663981,413.86100000000005,5.715500000000002,1,6,True
COc1cc(C=O)ccc1-c1cc2c(Nc3ccccc3)ncnc2s1,CHEMBL3759733,20.0,7.698970004336019,361.42600000000004,4.923000000000003,1,6,True
COc1cc(CC(=O)N2CC(=O)N[C@@H](Cc3ccccc3)C(=O)N(CC(N)=O)C(=O)CCSCc3ccc(cc3)C(=O)N[C@@H](CCCCN)CN(C(=O)CCC3CCCCC3)CC(=O)N[C@@H](Cc3ccccc3)CN(C(=O)CCc3ccccc3)CC(=O)N[C@@H](Cc3ccccc3)C2)cc(OC)c1,CHEMBL5082149,17700.0,4.752026733638194,1425.8049999999996,7.3129000000000195,6,14,False
COc1cc(CN(C)CCN(C)C)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,CHEMBL4784258,0.1,10.0,474.60900000000015,3.772400000000002,3,7,True
COc1cc(CNCCN(C)C)ccc1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2[nH]1,CHEMBL4759003,0.1,10.0,444.5830000000001,4.457800000000003,3,6,True
COc1cc(CNCCN(C)C)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,CHEMBL4787816,0.3,9.522878745280337,460.5820000000001,3.430200000000001,4,7,True
COc1cc(CNCCN2CCCCC2)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,CHEMBL4778248,0.1,10.0,500.6470000000001,4.3545000000000025,4,7,True
COc1cc(CNCCN2CCNCC2)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,CHEMBL4742081,0.1,10.0,501.63500000000016,2.7737999999999996,5,8,True
COc1cc(CNCCN2CCOCC2)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,CHEMBL4787951,0.1,10.0,502.61900000000014,3.200800000000001,4,8,True
COc1cc(CNCCS(C)(=O)=O)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,CHEMBL4784777,0.4,9.397940008672037,495.60500000000013,2.9132000000000007,4,8,True
COc1cc(CO)ccc1-c1cc2c(NCc3ccccc3)ncnc2s1,CHEMBL3759022,5.0,8.301029995663981,377.46900000000005,4.471300000000002,2,6,True
COc1cc(CO)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,CHEMBL4164805,0.2,9.698970004336019,390.44300000000004,3.2713,4,6,True
COc1cc(CO)ccc1-c1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2s1,CHEMBL3758351,2.0,8.698970004336019,415.8770000000001,5.395300000000003,2,6,True
COc1cc(CO)ccc1-c1cc2c(Nc3ccccc3)ncnc2s1,CHEMBL3758768,14.0,7.853871964321762,363.44200000000006,4.602800000000003,2,6,True
COc1cc(Cl)c(/C=C2\CN(C(C)C)C/C(=C\c3nc(C)c(C)nc3C)C2=O)cc1OC,CHEMBL4075241,3100.0,5.508638306165727,455.9860000000003,4.832560000000004,0,6,True
COc1cc(F)c(-c2nn(C(C)C)c3ncnc(N)c23)cc1F,CHEMBL1242027,10200.0,4.991399828238082,319.31500000000005,2.9432,1,6,True
COc1cc(F)ccc1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2s1,CHEMBL3759780,6.0,8.221848749616356,379.46000000000004,5.679100000000004,1,5,True
COc1cc(N(C)CCN(C)C)c(NC(=O)/C=C\C(C)C)cc1Nc1nc(C)cc(-c2cn(C)c3ccc(F)cc23)n1,CHEMBL4553484,892.0,6.049635145623877,573.7170000000002,5.983520000000006,2,8,False
COc1cc(N(C)CCN(C)C)c(NC(=O)/C=C\C(C)C)cc1Nc1nc(C)cc(-c2cn(C)c3ccccc23)n1,CHEMBL4434924,38.0,7.42021640338319,555.7270000000002,5.844420000000006,2,8,False
COc1cc(N(C)CCN(C)C)c(NC(=O)/C=C\C(C)C)cc1Nc1nc2c(c(-c3cn(C)c4ccc(F)cc34)n1)CSCC2,CHEMBL4454709,1689.0,5.772370350428991,631.822,6.464400000000007,2,9,False
COc1cc(N(C)CCN(C)C)c(NC(=O)/C=C\C(C)C)cc1Nc1nc2c(c(-c3cn(C)c4ccccc34)n1)CS(=O)(=O)CC2,CHEMBL4472571,1753.0,5.756218083906205,645.83,5.006900000000004,2,10,False
